place_id,title,rating,reviews,price,categories,link
fUbbtohQLIxLW_H7RJPZrw,Cafe Sismo,4.6,5,,Cafes,https://www.yelp.com/biz/cafe-sismo-christchurch?osq=Restaurant
cafe-sismo-christchurch,Cafe Sismo,4.6,5,,Cafes,https://www.yelp.com/biz/cafe-sismo-christchurch?osq=Restaurant
D12C-qzn3l8FdXqH4IU8Jg,Wok On In,4.0,2,,Malaysian,https://www.yelp.com/biz/wok-on-in-christchurch?osq=Restaurant
wok-on-in-christchurch,Wok On In,4.0,2,,Malaysian,https://www.yelp.com/biz/wok-on-in-christchurch?osq=Restaurant
9IH4d4GfvmlDL1LpazUt7Q,Red Elephant,4.0,1,$$,Thai,https://www.yelp.com/biz/red-elephant-christchurch?osq=Restaurant
red-elephant-christchurch,Red Elephant,4.0,1,$$,Thai,https://www.yelp.com/biz/red-elephant-christchurch?osq=Restaurant
HmVDwFzQDylZ-A0CloxPbQ,Maddison’s Restaurant,5.0,1,,New Zealand,https://www.yelp.com/biz/maddisons-restaurant-christchurch?osq=Restaurant
maddisons-restaurant-christchurch,Maddison’s Restaurant,5.0,1,,New Zealand,https://www.yelp.com/biz/maddisons-restaurant-christchurch?osq=Restaurant
-EYNkEGPRoyInE9COjJnNA,Red Rock Cafe,4.5,2,,Cafes,https://www.yelp.com/biz/red-rock-cafe-christchurch?osq=Restaurant
red-rock-cafe-christchurch,Red Rock Cafe,4.5,2,,Cafes,https://www.yelp.com/biz/red-rock-cafe-christchurch?osq=Restaurant
PW8sl9ehh5BgrlugZQQtUA,Hell Pizza,4.3,4,,"Pizza, Salad",https://www.yelp.com/biz/hell-pizza-christchurch-3?osq=Restaurant
hell-pizza-christchurch-3,Hell Pizza,4.3,4,,"Pizza, Salad",https://www.yelp.com/biz/hell-pizza-christchurch-3?osq=Restaurant
udG4gWakwlADcXdIqdwehw,Tony’s Teppan Yaki Japanese Restaurant,4.7,3,,Restaurants,https://www.yelp.com/biz/tonys-teppan-yaki-japanese-restaurant-christchurch?osq=Restaurant
tonys-teppan-yaki-japanese-restaurant-christchurch,Tony’s Teppan Yaki Japanese Restaurant,4.7,3,,Restaurants,https://www.yelp.com/biz/tonys-teppan-yaki-japanese-restaurant-christchurch?osq=Restaurant
Vvt6jac_VsAop9iWqLEYhA,Green Chilli Thai Restaurant and Takeaway,5.0,1,,Thai,https://www.yelp.com/biz/green-chilli-thai-restaurant-and-takeaway-christchurch?osq=Restaurant
green-chilli-thai-restaurant-and-takeaway-christchurch,Green Chilli Thai Restaurant and Takeaway,5.0,1,,Thai,https://www.yelp.com/biz/green-chilli-thai-restaurant-and-takeaway-christchurch?osq=Restaurant
yGe-3Dd8V9TAbtoJDiPAMg,Mitchelli’s Cafe Rinato,5.0,1,,"Cafes, Italian",https://www.yelp.com/biz/mitchellis-cafe-rinato-christchurch?osq=Restaurant
mitchellis-cafe-rinato-christchurch,Mitchelli’s Cafe Rinato,5.0,1,,"Cafes, Italian",https://www.yelp.com/biz/mitchellis-cafe-rinato-christchurch?osq=Restaurant
qkLJmx__gkLiqGXvm9GRCA,Sampan House Restaurant,2.9,7,$,Restaurants,https://www.yelp.com/biz/sampan-house-restaurant-christchurch?osq=Restaurant
sampan-house-restaurant-christchurch,Sampan House Restaurant,2.9,7,$,Restaurants,https://www.yelp.com/biz/sampan-house-restaurant-christchurch?osq=Restaurant
Lcj55-cemIDsOFM4NWFTNg,CBD Bar & Pizzaria,4.0,2,$$,"Hookah Bars, Pizza, Cocktail Bars",https://www.yelp.com/biz/cbd-bar-and-pizzaria-christchurch?osq=Restaurant
cbd-bar-and-pizzaria-christchurch,CBD Bar & Pizzaria,4.0,2,$$,"Hookah Bars, Pizza, Cocktail Bars",https://www.yelp.com/biz/cbd-bar-and-pizzaria-christchurch?osq=Restaurant
